propertyname;en;de;nl
kopf.titel;Rent-a-Kebab UdE;Dönerverleih UdE;Kebab Verhuur UdE
kopf.benutzer;Users;Benutzer;Gebruikers
benutzer.name;Name;Name;Naam
benutzer.email;E-Mail;Digitalpostanschrift;E-mailadres
benutzer.vegetarizitaet;Vegetaricity;Vegetarizität;Graad van vegetarisme
benutzer.vegetarizitaet.unvegetarisch;non-vegetarian;unvegetarisch;onvegetarisch
benutzer.vegetarizitaet.vegetarisch;vegetarian;vegetarisch;vegetarisch
benutzer.vegetarizitaet.vegan;vegan;vegan;vegan
benutzer.rolle;Role;Rolle;Rol
benutzer.rolle.admin;admin;Admin;admin
benutzer.rolle.kunde;customer;Kunde;klant
benutzer.rolle.gesperrt;blocked;gesperrt;geblokkeerd
benutzer.losung;Password;Losung;Wachtwoord
benutzer.losungwh;Repeat password;Losung (Wiederh.);Wachtwoord (herhaling)
benutzer.fehler.geeignetelosung;password suboptimal;Losung ist nicht entsprechend;dit wachtwoord is echt ongeschikt
benutzer.fehler.losungwiederholung;passwords do not match;Losungen weichen ab;wachtwoorden verschillen onderling
benutzer.bearbeiten.titel;Edit user {0};Benutzer {0} bearbeiten;Gebruikersprofiel {0} bewerken
benutzer.hallo;Hi;Moin;Hoi
benutzer.liste.titel;User List;Benutzerliste;Lijst van alle gebruikers
benutzer.liste.spalte.bearbeiten;edit;bearbeiten;bewerken
benutzer.liste.spalte.loeschen;delete;löschen;wissen
benutzer.liste.spalte.loginname;Login-Name;Login-Name;Gebruikers naam
benutzer.liste.spalte.name;Name;Name;Naam
benutzer.liste.spalte.email;E-Mail;Digitalpostanschrift;E-mailadres
benutzer.liste.spalte.rolle;Role;Rolle;Rol

kopf.doener;Kebabs;Döner;Kebabs
doener.liste.titel;Kebab List;Dönerliste;Lijst van alle kebabs
doener.liste.spalte.id;ID;ID;ID
doener.liste.spalte.bezeichnung;Name;Bezeichnung;Aanduiding
doener.liste.spalte.preis;Price;Preis;Prijs
doener.liste.spalte.vegetarizitaet;Vegetaricity;Vegetarizität;Graad van vegetarisme
doener.liste.spalte.bestand;Stock Level;Bestand;Voorraad
doener.liste.spalte.bearbeiten;edit;bearbeiten;bewerken
doener.liste.spalte.loeschen;delete;löschen;wissen
doener.liste.neudoener;New kebab;Neuer Döner;Nieuw kebab

doener.bearbeiten.titel;Edit kebab {0};Döner {0} bearbeiten;Kebab {0} bewerken
doener.bearbeiten.neu.titel;Create new kebab;Neuen Döner anlegen;Nieuwe kebab creëeren
doener.bezeichnung;Designation;Bezeichnung;Aanduiding
doener.preis;Price;Preis;Prijs
doener.vegetarizitaet;Vegetaricity;Vegetarizität;Graad van vegetarisme
doener.bestand;Stock Level;Bestand;Voorraad
doener.vegetarizitaet.unvegetarisch;non-vegetarian;unvegetarisch;onvegetarisch
doener.vegetarizitaet.vegetarisch;vegetarian;vegetarisch;vegetarisch
doener.vegetarizitaet.vegan;vegan;vegan;vegan
doener.zutaten;Ingredients;Zutaten;Ingrediënten
zutat.fehler.ean;EAN must consist of 13 digits;EAN muss aus 13 Ziffern bestehen;Een EAN moet uit 13 cijfers bestaan

doener.vegetarizitaet.2;non-vegetarian;unvegetarisch;onvegetarisch
doener.vegetarizitaet.1;vegetarian;vegetarisch;vegetarisch
doener.vegetarizitaet.0;vegan;vegan;vegan
